 #,Song,Artist,BPM,Camelot,Energy,Added At,Duration,Popularity,Genres,Parent Genres,Album,Album Date,Dance,Acoustic,Instrumental,Valence,Speech,Live,Loud (Db),Key,Time Signature,Spotify Track Id,Label,ISRC,Explicit
1,"It's Up (feat. Young Thug & 21 Savage)","Drake, Young Thug, 21 Savage",140,3B,72,2026-08-10,04:38,74,"rap, melodic rap, trap, atl hip hop, hip hop","Hip Hop","100 GIGS",2024-08-30,78,3,0,29,10,10,-5,C♯/D♭,4,1qIwin7JMVuX70qN6wD8ww,"OVO/Republic",USUG12405316,yes
2,"Portland","Drake, Quavo, Travis Scott",136,3B,44,2026-08-10,03:56,70,"rap, atl hip hop, melodic rap, trap","Hip Hop","More Life",2017-03-18,93,2,0,35,20,20,-8,C♯/D♭,4,2bjwRfXMk4uRgOD9IBYl9h,"Cash Money Records/Young Money Ent./Universal Rec.",USCM51700055,yes
3,"Nonstop","Drake",155,9B,41,2026-08-10,03:58,80,"rap","Hip Hop","Scorpion",2018-06-29,91,2,1,42,10,10,-8,G,4,0TlLq3lA83rQOYtrqBqSct,"Cash Money/Drake LP6",USCM51800191,yes
4,"0 To 100 / The Catch Up","Drake",177,10A,72,2026-08-10,04:35,73,"rap","Hip Hop","0 To 100 / The Catch Up",2013-07-14,56,74,0,50,30,20,-4,B minor,4,4jtyUzZm9WLc2AdaJ1dso7,"Cash Money Records/Young Money Ent./Universal Rec.",USCM51400222,yes
5,"Energy","Drake",172,1B,57,2026-08-10,03:01,73,"rap","Hip Hop","If You're Reading This It's Too Late",2015-02-12,75,38,0,55,40,50,-8,B,4,79XrkTOfV1AqySNjVlygpW,"Cash Money Records/Young Money Ent./Universal Rec.",USCM51500012,yes
6,"Legend","Drake",100,3B,56,2026-08-10,04:01,67,"rap","Hip Hop","If You're Reading This It's Too Late",2015-02-12,71,3,0,31,0,0,-8,C♯/D♭,4,1ID1QFSNNxi0hiZCNcwjUC,"Cash Money Records/Young Money Ent./Universal Rec.",USCM51500010,yes
7,"In My Feelings","Drake",91,3B,63,2026-08-10,03:37,78,"rap","Hip Hop","Scorpion",2018-06-29,84,6,0,35,10,40,-6,C♯/D♭,4,2G7V7zsVDxg1yRsu7Ew9RJ,"Cash Money/Drake LP6",USCM51800206,yes
8,"Controlla","Drake",92,3A,47,2026-08-10,04:05,77,"rap","Hip Hop","Views",2016-05-06,59,8,0,35,10,10,-11,A#/B♭ minor,4,3O8NlPh2LByMU9lSRSHedm,"Cash Money Records/Young Money Ent./Universal Rec.",USCM51600080,yes
9,"TSU","Drake",130,11B,56,2026-08-10,05:08,76,"rap","Hip Hop","Certified Lover Boy",2021-09-03,57,23,0,25,40,30,-9,A,4,4s7QLoImIwmPi9L6dq1nVW,"OVO",USUG12104404,yes
10,"Family Matters","Drake",164,3B,49,2026-08-10,07:36,73,"rap","Hip Hop","Family Matters",2024-05-03,53,0,0,23,20,30,-10,C♯/D♭,4,1wFFFzJ5EsKbBWZriAcubN,"OVO/Republic",USUG12402984,yes
11,"Keep The Family Close","Drake",88,8A,57,2026-08-10,05:28,66,"rap","Hip Hop","Views",2016-05-06,38,15,0,20,0,30,-8,A minor,3,7sBwAWyXfiIgrYQ8BaJESH,"Cash Money Records/Young Money Ent./Universal Rec.",USCM51600061,yes
12,"Tried Our Best","Drake",84,1A,30,2026-08-10,03:29,73,"rap","Hip Hop","For All The Dogs",2023-10-06,57,84,0,23,0,10,-14,G#/A♭ minor,3,3IHt4j5uAEl7iBu8Utn985,"OVO/Republic",USUG12306098,yes
13,"HYFR (Hell Ya Fucking Right)","Drake, Lil Wayne",98,6A,63,2026-08-10,03:26,76,"rap, hip hop","Hip Hop","Take Care (Deluxe)",2011-11-15,44,12,0,36,20,0,-9,G minor,3,0m1KYWlT6LhFRBDVq9UNx4,"Cash Money Records/Young Money Ent./Universal Rec.",USCM51100570,yes
14,"IDGAF (feat. Yeat)","Drake, Yeat",137,4B,67,2026-08-10,04:20,76,"rap, rage rap","Hip Hop","For All The Dogs",2023-10-06,67,5,0,14,20,10,-9,G#/A♭,4,2YSzYUF3jWqb9YP9VXmpjE,"OVO/Republic",USUG12306072,yes
15,"Massive","Drake",125,9A,67,2026-08-10,05:36,74,"rap","Hip Hop","Honestly, Nevermind",2022-06-16,50,11,2,6,0,10,-7,E minor,3,0oiv4E896TUTTeQU0cmIui,"OVO",USUG12204890,no
